Heads of Expenditure,1990-91 ,1995-96 ,1996-97 ,1997-98 ,1998-99 ,1999-2000 ,2000-01 ,2001-02 ,2002-03 ,2003-04 (RE),2003-04 ,2004-05 (BE),2004-05 (RE),2004-05 ,2005-06 (BE),2005-06 (RE),2005-06 ,2006-07 (BE),2006-07 (RE),2006-07 ,2007-08 (BE),2007-08 (RE),2007-08 ,2008-09 (BE),2008-09 (R.E.) ,2008-09 ,2009-10 (B.E.),2009-10 (R.E.),2009-10 ,2010-11 (B.E.),2010-11 (R.E.),2010-11 ,2011-12 (B.E.),2011-12 (R.E.),2011-12 ,2012-13 (B.E.),2012-13 (R.E.),2012-13 ,2013-14 (B.E.),2013-14 (R.E.),2013-14 ,2014-15 (B.E.),2014-15 (RE),2015-16 (BE)
2. General Economic Services,4259.9,2053.34,2185.94,2355.29,3075.23,2847.19,3206.61,2074.38,2880.09,7276.38,3539.14,7720.53,10068.84,5122.65,12048.14,12446.87,5276.31,13729.45,14610.61,7795.89,16850.17,20641.71,9137.72,20191.49,24197.32,10885.98,25244.3,24676.7,10543.38,29225.9,34474.98,13602.22,38024.57,34476.3,14532.2,40210.9,38233.06,14411,45960.21,38970,18799,51271,43495,42445
a) Foreign trade & export promotion,2810.82,432.35,566.56,576.26,746.06,707.54,834.3,914.57,929.32,1067.36,1033.96,1137.77,1016.13,1002.54,1261.86,1218.07,1173.55,1313.51,1298.79,1739.65,1340.34,2561.83,2493.61,2274.19,3756.07,3677.17,2396.1,2552.23,2481.18,2641.73,5120.33,3728.4,4867.26,2769.24,2806.2,3177.76,3086.49,3044,3505.32,3624,3526,3980,3885,4142
b) Co-operation,931.49,867.18,717.28,724.65,858.24,933.58,871.2,901.01,1014.55,1413.01,1168.82,1311.55,2689.36,2500.18,1922.72,2261.5,2488.23,1889.01,2677.1,3181.74,2804.35,5165.44,4541.51,2645.5,5370.5,5094.28,5241.92,5205.04,4948.03,3176.76,4270.61,4323.73,4107.26,5297.85,4861.68,5351.94,7794.59,5698,8003.47,6302,8924,6536,7492,7562
c) Others,517.59,753.81,902.1,1054.38,1470.93,1206.07,1501.11,258.8,936.22,4796.01,1336.36,5271.21,6363.35,1619.93,8863.56,8967.3,1614.53,10526.93,10634.72,2874.5,12705.48,12914.44,2102.6,15271.8,15070.75,2114.53,17606.28,16919.43,3114.17,23407.41,25084.04,5550.09,29050.05,26409.21,6864.32,31681.2,27351.98,5670,34451.42,29043,6349,40755,32118,30742
3. Agriculture & allied services,11046.73,20624.33,22078.23,24589.31,30843.01,33732.69,31428.86,34963.33,38332.66,47568.89,43362.07,46013.4,49571.99,47002.43,56247.39,62340.98,59480.42,67510.97,75121.64,74148.95,82880.19,86367.4,76289.42,103947.85,118238.55,108151.17,120664.37,115174,110667.24,128372.97,143834.19,132037.49,153138.78,146171.28,133569.93,168825.35,169119.75,154021,189040.09,190266,164457,231836,242578,251758
a) Crop husbandry,1683.04,3553.18,5031.12,6171.59,7687.23,9425.56,9186.16,10140.03,8643.37,10246.13,9298.09,11167.34,12244.09,12418.97,14257.26,15300.9,15025.54,16065.2,19198.04,20868.27,21600.24,25771.72,17393.11,30718.95,21359.48,16106.64,19127.24,20869.37,20789.67,23149.86,29264.63,28044.8,29978.03,30741.89,28451.15,36648.1,39018.1,35035,42834.89,44015,34350,53503,56854,55212
b) Animal husbandry,729.26,1362.42,1316.68,1486.77,1763.84,1990.68,2064.2,2096.21,2142.42,2475.1,2272.37,2773.21,2850.87,2572.94,2955.19,3090.12,2868.63,3422.25,3810.29,3532.55,4046.85,4184.94,3712.69,4985.57,4902.92,4490.13,5524.37,5538.36,5334.52,6383.75,6933.51,6303.51,8228.19,8275.78,7454.46,9465.58,9497.44,8512,10578.8,10690,9239,11729,11480,12245
c) Food storage & warehousing ( Excl. food & fert.subsidy),178.48,537.17,401.27,488.38,519.53,589.24,488.85,413.66,466.65,654.92,434.45,652.01,649.14,442.28,510.75,524.92,578.86,561.58,645.33,751.3,641.72,850.85,891.71,634.28,1469.74,874.94,913.12,936.6,1147.81,1048.18,1536.28,1181.22,2254.54,1325.9,1476.04,1597.82,1479.38,1574,1981.15,2598,4163,4586,6437,10636
d) Rural development,5036.73,11859.32,11590.04,12578.91,15110.61,15551.49,13790.65,16101.49,21965.32,27321.78,24649.93,23138,25718.18,24135.73,29169.2,34045.96,32810.18,36020.42,38573.72,36531.51,41966.49,40330.21,39857.61,46587.37,69613.1,67492.23,78149.97,71078.55,66971.45,77602.54,81606.96,74481.6,87100.7,81637.92,74892.92,91032.8,90977.49,81032,100447.06,97208,87610,118363,125461,126864
e) Others,3419.22,3312.24,3739.12,3863.66,5761.8,6175.72,5899,6211.94,5114.9,6870.96,6707.23,8282.84,8109.71,7432.51,9354.99,9379.08,8197.21,11441.52,12894.26,12465.32,14624.89,15229.68,14434.3,21021.68,20893.31,19187.23,16949.67,16751.12,16423.79,20188.64,24492.81,22026.36,25577.32,24189.79,21295.36,30081.05,28147.34,27868,33198.19,35755,29096,43654,42346,46801
